{1,2,3,4,5,8,9,16,17,32,33}
{1,2,3,4,5,8,9,16,17,32,34}
{1,2,3,4,5,8,9,16,18,32,34}
{1,2,3,4,5,8,9,16,18,32,35}
{1,1,2,4,6,8,10,16,18,32,35}
{1,1,2,4,6,8,10,16,19,32,35}
{1,1,2,4,6,8,11,16,19,32,35}
{1,1,2,4,7,8,11,16,19,32,35}
{1,2,3,4,5,8,9,16,18,32,36}
{1,2,3,4,5,8,10,16,19,32,36}
{1,1,2,4,6,8,10,16,19,32,36}
{1,1,2,4,6,8,10,16,18,32,37}
{1,1,2,4,6,8,10,16,19,32,37}
{1,1,2,4,6,8,11,16,19,32,37}
{1,1,2,4,7,8,11,16,19,32,37}
{1,1,2,3,4,8,12,16,20,32,37}
{1,1,2,4,6,8,10,16,21,32,37}
{1,1,2,3,4,8,12,16,21,32,37}
{1,1,2,3,4,8,13,16,21,32,37}
{1,2,3,4,8,12,16,21,26,32,37}
{1,2,3,4,5,8,9,16,17,32,38}
{1,2,3,4,5,8,9,16,18,32,38}
{1,2,3,4,5,8,10,16,19,32,38}
{1,2,3,4,5,8,10,16,20,32,38}
{1,1,2,3,4,8,12,16,20,32,38}
{1,1,2,2,4,8,12,16,21,32,38}
{1,1,2,3,4,8,12,16,21,32,38}
{1,1,2,2,4,8,13,16,21,32,38}
{1,1,2,3,4,8,13,16,21,32,38}
{1,2,3,4,5,8,9,16,22,32,38}
{1,2,3,4,5,8,10,16,22,32,38}
{1,1,2,3,4,8,12,16,22,32,38}
{1,1,2,3,4,8,13,16,22,32,38}
{1,1,2,3,4,8,14,16,22,32,38}
{1,2,3,4,5,8,14,16,22,32,38}
{1,2,3,4,5,8,10,16,20,32,39}
{1,1,2,4,6,8,10,16,20,32,39}
{1,1,2,2,4,8,12,16,20,32,39}
{1,1,2,4,6,8,10,16,21,32,39}
{1,1,2,2,4,8,12,16,21,32,39}
{1,1,2,2,4,8,13,16,21,32,39}
{1,1,2,3,4,8,12,16,22,32,39}
{1,1,2,2,4,8,13,16,22,32,39}
{1,1,1,2,4,8,14,16,22,32,39}
{1,1,2,3,4,8,14,16,22,32,39}
{1,1,2,2,4,8,12,16,23,32,39}
{1,1,2,2,4,8,13,16,23,32,39}
{1,1,1,2,4,8,14,16,23,32,39}
