{1,2,3,4,5,6,8,16,32}
{1,2,3,4,5,8,9,16,32}
{1,2,3,4,5,8,10,16,32}
{1,2,3,4,5,8,14,16,32}
{1,2,3,4,5,8,16,24,32}
{1,2,3,4,5,8,16,25,32}
{1,2,3,4,5,8,16,26,32}
{1,2,3,4,5,8,16,30,32}
{1,2,3,4,5,8,16,32,56}
{1,2,3,4,5,8,16,32,57}
{1,2,3,4,5,8,16,32,58}
{1,2,3,4,5,8,16,32,62}
{1,2,3,4,8,12,16,21,32}
{1,2,3,4,8,12,16,32,48}
{1,2,3,4,8,12,16,32,49}
{1,2,3,4,8,12,16,32,53}
{1,2,3,4,8,13,16,21,32}
{1,2,3,4,8,13,16,22,32}
{1,2,3,4,8,13,16,32,49}
{1,2,3,4,8,13,16,32,50}
{1,2,3,4,8,13,16,32,52}
{1,2,3,4,8,13,16,32,53}
{1,2,3,4,8,13,16,32,54}
{1,2,3,4,8,16,28,32,44}
{1,2,3,4,8,16,28,32,45}
{1,2,3,4,8,16,29,32,46}
{1,2,4,7,8,11,13,16,32}
{1,2,4,7,8,11,16,19,32}
{1,2,4,7,8,11,16,21,32}
{1,2,4,7,8,11,16,29,32}
{1,2,4,7,8,11,16,32,49}
{1,2,4,7,8,11,16,32,51}
{1,2,4,7,8,11,16,32,53}
{1,2,4,7,8,11,16,32,61}
{1,2,4,7,8,16,25,32,42}
{1,2,4,7,8,16,25,32,43}
{1,2,4,7,8,16,27,32,43}
{1,2,4,7,8,16,27,32,45}
